Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
182183,Lightning Charging Cable,1,14.95,04/19/19 10:40,"290 6th St, San Francisco, CA 94016"
182184,Bose SoundSport Headphones,1,99.99,04/07/19 13:42,"175 Meadow St, San Francisco, CA 94016"
182185,ThinkPad Laptop,1,999.99,04/13/19 13:34,"98 1st St, Boston, MA 02215"
182186,Lightning Charging Cable,1,14.95,04/23/19 07:47,"487 Hill St, New York City, NY 10001"
182187,AA Batteries (4-pack),1,3.84,04/02/19 14:15,"590 5th St, Dallas, TX 75001"
182188,AAA Batteries (4-pack),2,2.99,04/02/19 17:58,"972 Park St, New York City, NY 10001"
182189,Lightning Charging Cable,1,14.95,04/23/19 13:31,"523 Hill St, Los Angeles, CA 90001"
182190,Lightning Charging Cable,1,14.95,04/06/19 18:35,"425 Forest St, Seattle, WA 98101"
182191,Wired Headphones,1,11.99,04/08/19 22:12,"574 Hill St, Boston, MA 02215"
182192,Wired Headphones,1,11.99,04/30/19 12:43,"629 Church St, Boston, MA 02215"
182193,Wired Headphones,1,11.99,04/10/19 13:15,"102 Washington St, Boston, MA 02215"
182194,AAA Batteries (4-pack),2,2.99,04/01/19 23:37,"141 Hill St, Austin, TX 73301"
182195,Lightning Charging Cable,1,14.95,04/21/19 12:30,"315 Main St, San Francisco, CA 94016"
182196,Macbook Pro Laptop,1,1700.0,04/03/19 17:24,"374 10th St, Los Angeles, CA 90001"
182197,Lightning Charging Cable,1,14.95,04/04/19 11:54,"327 9th St, New York City, NY 10001"
182198,USB-C Charging Cable,1,11.95,04/08/19 12:44,"444 Lincoln St, Los Angeles, CA 90001"
182199,Wired Headphones,1,11.99,04/19/19 10:25,"719 11th St, Boston, MA 02215"
182200,USB-C Charging Cable,1,11.95,04/13/19 10:53,"253 Cherry St, Dallas, TX 75001"
182201,Bose SoundSport Headphones,1,99.99,04/08/19 17:18,"824 Meadow St, Portland, OR 97035"
182202,Apple Airpods Headphones,1,150.0,04/23/19 20:52,"891 Hickory St, San Francisco, CA 94016"
182203,Wired Headphones,2,11.99,04/16/19 12:58,"463 Church St, San Francisco, CA 94016"
182204,AAA Batteries (4-pack),1,2.99,04/08/19 22:41,"692 Washington St, New York City, NY 10001"
182205,Bose SoundSport Headphones,1,99.99,04/09/19 06:34,"527 Washington St, Dallas, TX 75001"
182206,USB-C Charging Cable,1,11.95,04/24/19 20:31,"741 Willow St, New York City, NY 10001"
182207,iPhone,1,700.0,04/09/19 16:39,"352 Sunset St, Dallas, TX 75001"
182208,AA Batteries (4-pack),2,3.84,04/27/19 15:55,"72 Adams St, San Francisco, CA 94016"
182209,20in Monitor,1,109.99,04/27/19 08:48,"883 Pine St, Los Angeles, CA 90001"
182210,Bose SoundSport Headphones,1,99.99,04/17/19 10:28,"338 Spruce St, New York City, NY 10001"
182211,USB-C Charging Cable,1,11.95,04/03/19 14:13,"910 South St, Boston, MA 02215"
182212,AA Batteries (4-pack),1,3.84,04/14/19 15:54,"590 Main St, Austin, TX 73301"
182213,Bose SoundSport Headphones,1,99.99,04/19/19 13:14,"997 2nd St, Los Angeles, CA 90001"
182214,Wired Headphones,2,11.99,04/01/19 20:33,"68 Park St, Boston, MA 02215"
182215,27in FHD Monitor,1,149.99,04/11/19 00:38,"490 Cedar St, New York City, NY 10001"
182216,27in FHD Monitor,1,149.99,04/06/19 09:48,"651 Dogwood St, Boston, MA 02215"
182217,27in FHD Monitor,1,149.99,04/04/19 23:58,"438 10th St, Boston, MA 02215"
182218,Lightning Charging Cable,1,14.95,04/01/19 13:27,"749 Hill St, San Francisco, CA 94016"
182219,ThinkPad Laptop,1,999.99,04/08/19 16:54,"983 Cherry St, Los Angeles, CA 90001"
182220,Lightning Charging Cable,1,14.95,04/05/19 02:00,"379 North St, Los Angeles, CA 90001"
182221,Macbook Pro Laptop,1,1700.0,04/06/19 12:36,"346 Jefferson St, New York City, NY 10001"
182222,USB-C Charging Cable,1,11.95,04/10/19 09:04,"920 Johnson St, New York City, NY 10001"
182223,Wired Headphones,1,11.99,04/18/19 11:20,"310 Johnson St, New York City, NY 10001"
182224,Apple Airpods Headphones,1,150.0,04/10/19 21:28,"673 Hickory St, Dallas, TX 75001"
182225,iPhone,1,700.0,04/15/19 13:23,"539 10th St, Los Angeles, CA 90001"
182226,Bose SoundSport Headphones,1,99.99,04/04/19 17:26,"716 Lake St, Los Angeles, CA 90001"
182227,AA Batteries (4-pack),3,3.84,04/12/19 17:11,"60 Jefferson St, Atlanta, GA 30301"
182228,Wired Headphones,1,11.99,04/28/19 23:23,"848 13th St, San Francisco, CA 94016"
182229,USB-C Charging Cable,1,11.95,04/02/19 06:06,"428 Walnut St, San Francisco, CA 94016"
182230,Bose SoundSport Headphones,1,99.99,04/30/19 15:21,"371 Highland St, Dallas, TX 75001"
182231,27in 4K Gaming Monitor,1,389.99,04/29/19 08:50,"800 5th St, Los Angeles, CA 90001"
182232,34in Ultrawide Monitor,1,379.99,04/08/19 13:01,"983 Meadow St, Dallas, TX 75001"
182233,34in Ultrawide Monitor,1,379.99,04/26/19 03:41,"608 2nd St, Atlanta, GA 30301"
182234,USB-C Charging Cable,1,11.95,04/27/19 18:18,"281 9th St, San Francisco, CA 94016"
182235,Apple Airpods Headphones,1,150.0,04/05/19 12:38,"882 Cedar St, Austin, TX 73301"
182236,Wired Headphones,1,11.99,04/24/19 18:42,"350 Hill St, Seattle, WA 98101"
182237,ThinkPad Laptop,1,999.99,04/26/19 19:41,"447 Spruce St, New York City, NY 10001"
182238,AA Batteries (4-pack),1,3.84,04/15/19 22:02,"497 Hill St, Seattle, WA 98101"
182239,Bose SoundSport Headphones,1,99.99,04/10/19 13:06,"713 Cherry St, Atlanta, GA 30301"
182240,AA Batteries (4-pack),1,3.84,04/22/19 18:40,"394 13th St, San Francisco, CA 94016"
182241,Google Phone,1,600.0,04/10/19 17:02,"785 13th St, Los Angeles, CA 90001"
