Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
228834,27in 4K Gaming Monitor,1,389.99,08/21/19 00:45,"984 Park St, Portland, OR 97035"
228835,Lightning Charging Cable,1,14.95,08/20/19 17:40,"159 Ridge St, Seattle, WA 98101"
228836,Macbook Pro Laptop,1,1700.0,08/01/19 18:52,"813 1st St, Seattle, WA 98101"
228837,Macbook Pro Laptop,1,1700.0,08/19/19 17:16,"290 8th St, New York City, NY 10001"
228838,AA Batteries (4-pack),2,3.84,08/18/19 10:39,"429 Meadow St, Boston, MA 02215"
228839,Lightning Charging Cable,1,14.95,08/13/19 10:26,"8 12th St, San Francisco, CA 94016"
228840,Wired Headphones,1,11.99,08/28/19 15:56,"21 5th St, New York City, NY 10001"
228841,27in FHD Monitor,1,149.99,08/09/19 08:02,"992 South St, San Francisco, CA 94016"
228841,20in Monitor,1,109.99,08/09/19 08:02,"992 South St, San Francisco, CA 94016"
228842,Lightning Charging Cable,1,14.95,08/01/19 22:07,"594 Johnson St, Los Angeles, CA 90001"
228843,Flatscreen TV,1,300.0,08/19/19 07:56,"171 Pine St, San Francisco, CA 94016"
228844,Wired Headphones,1,11.99,08/31/19 13:23,"527 Church St, San Francisco, CA 94016"
228845,27in FHD Monitor,1,149.99,08/09/19 12:27,"817 13th St, New York City, NY 10001"
228846,Apple Airpods Headphones,1,150.0,08/18/19 19:06,"308 Wilson St, Seattle, WA 98101"
228847,AA Batteries (4-pack),1,3.84,08/13/19 00:07,"909 Meadow St, Los Angeles, CA 90001"
228848,Wired Headphones,1,11.99,08/01/19 15:56,"688 11th St, New York City, NY 10001"
228849,USB-C Charging Cable,1,11.95,08/01/19 11:03,"498 1st St, San Francisco, CA 94016"
228850,Wired Headphones,1,11.99,08/28/19 10:16,"518 Spruce St, Seattle, WA 98101"
228851,AAA Batteries (4-pack),1,2.99,08/18/19 14:38,"700 2nd St, Seattle, WA 98101"
228852,Lightning Charging Cable,2,14.95,08/04/19 07:13,"161 4th St, Seattle, WA 98101"
228853,Flatscreen TV,1,300.0,08/05/19 19:55,"808 Forest St, Portland, OR 97035"
228854,20in Monitor,1,109.99,08/04/19 22:41,"88 Wilson St, Boston, MA 02215"
228855,Lightning Charging Cable,1,14.95,08/19/19 15:19,"147 Pine St, Seattle, WA 98101"
228856,Lightning Charging Cable,1,14.95,08/19/19 23:08,"185 Cherry St, Boston, MA 02215"
228857,Lightning Charging Cable,1,14.95,08/28/19 21:15,"272 13th St, Los Angeles, CA 90001"
228858,Bose SoundSport Headphones,1,99.99,08/30/19 12:10,"53 Lake St, San Francisco, CA 94016"
228859,Bose SoundSport Headphones,1,99.99,08/10/19 14:14,"317 Jackson St, New York City, NY 10001"
228860,Lightning Charging Cable,1,14.95,08/02/19 17:24,"256 Pine St, San Francisco, CA 94016"
228861,USB-C Charging Cable,1,11.95,08/23/19 08:51,"105 Wilson St, Portland, OR 97035"
228862,Wired Headphones,1,11.99,08/29/19 21:14,"578 Lincoln St, Atlanta, GA 30301"
228863,27in FHD Monitor,1,149.99,08/04/19 03:59,"363 Lake St, San Francisco, CA 94016"
228864,AA Batteries (4-pack),4,3.84,08/23/19 08:04,"11 Highland St, Los Angeles, CA 90001"
228865,Bose SoundSport Headphones,1,99.99,08/30/19 02:14,"910 Lakeview St, Dallas, TX 75001"
228866,Lightning Charging Cable,1,14.95,08/01/19 09:07,"295 Jackson St, New York City, NY 10001"
228867,AA Batteries (4-pack),1,3.84,08/11/19 20:01,"597 South St, San Francisco, CA 94016"
228868,iPhone,1,700.0,08/09/19 13:26,"427 Jackson St, Portland, OR 97035"
228869,AA Batteries (4-pack),1,3.84,08/31/19 11:59,"788 9th St, Los Angeles, CA 90001"
228870,Lightning Charging Cable,1,14.95,08/19/19 13:30,"283 River St, Los Angeles, CA 90001"
228871,Apple Airpods Headphones,1,150.0,08/11/19 04:00,"804 4th St, Dallas, TX 75001"
228872,USB-C Charging Cable,1,11.95,08/04/19 12:35,"643 South St, Seattle, WA 98101"
228873,Wired Headphones,1,11.99,08/29/19 11:36,"749 13th St, Portland, OR 97035"
228874,Lightning Charging Cable,1,14.95,08/19/19 16:36,"64 South St, Los Angeles, CA 90001"
228875,Flatscreen TV,1,300.0,08/09/19 12:30,"66 1st St, Boston, MA 02215"
228876,USB-C Charging Cable,1,11.95,08/03/19 09:21,"950 Church St, Seattle, WA 98101"
228877,Apple Airpods Headphones,1,150.0,08/13/19 15:59,"989 Main St, Portland, OR 97035"
228878,Bose SoundSport Headphones,1,99.99,08/07/19 09:27,"609 14th St, Atlanta, GA 30301"
228879,Google Phone,1,600.0,08/03/19 14:35,"195 10th St, Atlanta, GA 30301"
228880,USB-C Charging Cable,1,11.95,08/27/19 07:23,"179 12th St, Boston, MA 02215"
228881,Apple Airpods Headphones,1,150.0,08/02/19 14:16,"577 Lakeview St, Atlanta, GA 30301"
228882,iPhone,1,700.0,08/26/19 05:38,"266 Cherry St, Dallas, TX 75001"
228882,Wired Headphones,2,11.99,08/26/19 05:38,"266 Cherry St, Dallas, TX 75001"
228883,Lightning Charging Cable,1,14.95,08/31/19 15:48,"861 Hill St, Dallas, TX 75001"
228884,AAA Batteries (4-pack),1,2.99,08/04/19 14:32,"852 13th St, Seattle, WA 98101"
228885,Bose SoundSport Headphones,1,99.99,08/31/19 21:23,"854 Forest St, San Francisco, CA 94016"
228886,AAA Batteries (4-pack),1,2.99,08/31/19 12:00,"71 Spruce St, New York City, NY 10001"
228887,USB-C Charging Cable,1,11.95,08/09/19 02:08,"612 Maple St, Los Angeles, CA 90001"
228888,Apple Airpods Headphones,1,150.0,08/11/19 19:15,"400 Lincoln St, Los Angeles, CA 90001"
228889,Google Phone,1,600.0,08/13/19 12:14,"857 Forest St, Boston, MA 02215"
228890,27in 4K Gaming Monitor,1,389.99,08/11/19 21:40,"641 Cedar St, San Francisco, CA 94016"
228891,27in FHD Monitor,1,149.99,08/09/19 21:02,"63 Main St, San Francisco, CA 94016"
228892,AA Batteries (4-pack),2,3.84,08/01/19 17:32,"110 13th St, Los Angeles, CA 90001"
228893,AA Batteries (4-pack),1,3.84,08/11/19 22:32,"155 14th St, Los Angeles, CA 90001"
228894,iPhone,1,700.0,08/03/19 12:21,"724 13th St, Los Angeles, CA 90001"
228894,Apple Airpods Headphones,1,150.0,08/03/19 12:21,"724 13th St, Los Angeles, CA 90001"
228894,Wired Headphones,1,11.99,08/03/19 12:21,"724 13th St, Los Angeles, CA 90001"
228895,Flatscreen TV,1,300.0,08/13/19 18:55,"589 Meadow St, Atlanta, GA 30301"
228896,Wired Headphones,1,11.99,08/03/19 19:50,"872 10th St, Los Angeles, CA 90001"
228897,AAA Batteries (4-pack),1,2.99,08/13/19 09:58,"750 12th St, Boston, MA 02215"
228898,USB-C Charging Cable,1,11.95,08/15/19 07:24,"750 9th St, Dallas, TX 75001"
228899,AAA Batteries (4-pack),1,2.99,08/18/19 19:24,"686 Adams St, Boston, MA 02215"
228900,Apple Airpods Headphones,1,150.0,08/28/19 14:12,"923 North St, Los Angeles, CA 90001"
228901,Google Phone,1,600.0,08/13/19 16:15,"362 Spruce St, New York City, NY 10001"
228902,Macbook Pro Laptop,1,1700.0,08/01/19 17:23,"3 Main St, Seattle, WA 98101"
228903,Lightning Charging Cable,1,14.95,08/15/19 13:25,"642 Church St, San Francisco, CA 94016"
228904,Lightning Charging Cable,1,14.95,08/25/19 18:38,"510 Park St, Boston, MA 02215"
228905,Wired Headphones,1,11.99,08/19/19 17:10,"350 Jefferson St, Seattle, WA 98101"
228906,Apple Airpods Headphones,1,150.0,08/30/19 09:33,"690 Sunset St, Boston, MA 02215"
228907,USB-C Charging Cable,1,11.95,08/12/19 15:10,"294 9th St, San Francisco, CA 94016"
228908,AA Batteries (4-pack),1,3.84,08/23/19 16:44,"239 Cedar St, Los Angeles, CA 90001"
228909,Wired Headphones,1,11.99,08/25/19 11:20,"173 4th St, Austin, TX 73301"
228910,Apple Airpods Headphones,1,150.0,08/18/19 17:50,"920 Spruce St, Atlanta, GA 30301"
228911,Lightning Charging Cable,2,14.95,08/11/19 12:15,"396 Meadow St, Boston, MA 02215"
228912,USB-C Charging Cable,1,11.95,08/18/19 17:27,"209 12th St, San Francisco, CA 94016"
228913,USB-C Charging Cable,1,11.95,08/07/19 23:31,"534 7th St, Seattle, WA 98101"
228914,Apple Airpods Headphones,1,150.0,08/27/19 18:48,"689 6th St, Seattle, WA 98101"
228915,Wired Headphones,1,11.99,08/10/19 11:45,"339 Jackson St, Boston, MA 02215"
228916,USB-C Charging Cable,1,11.95,08/28/19 10:51,"301 Wilson St, Atlanta, GA 30301"
228917,Wired Headphones,1,11.99,08/13/19 15:41,"33 4th St, Los Angeles, CA 90001"
228918,ThinkPad Laptop,1,999.99,08/11/19 00:46,"59 Willow St, Los Angeles, CA 90001"
228919,34in Ultrawide Monitor,1,379.99,08/05/19 16:02,"714 River St, San Francisco, CA 94016"
