Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
290557,Bose SoundSport Headphones,1,99.99,12/17/19 21:43,"910 7th St, New York City, NY 10001"
290558,AA Batteries (4-pack),1,3.84,12/06/19 12:32,"270 14th St, Boston, MA 02215"
290559,AA Batteries (4-pack),1,3.84,12/08/19 19:55,"709 4th St, Los Angeles, CA 90001"
290560,Wired Headphones,1,11.99,12/09/19 15:56,"283 Willow St, Dallas, TX 75001"
290561,AA Batteries (4-pack),1,3.84,12/11/19 10:46,"230 Forest St, San Francisco, CA 94016"
290562,iPhone,1,700.0,12/18/19 10:54,"975 River St, San Francisco, CA 94016"
290562,Lightning Charging Cable,1,14.95,12/18/19 10:54,"975 River St, San Francisco, CA 94016"
290563,27in 4K Gaming Monitor,1,389.99,12/30/19 14:08,"697 Highland St, Atlanta, GA 30301"
290564,USB-C Charging Cable,1,11.95,12/08/19 13:12,"443 South St, Los Angeles, CA 90001"
290565,Apple Airpods Headphones,1,150.0,12/14/19 08:20,"134 4th St, Boston, MA 02215"
290566,Bose SoundSport Headphones,1,99.99,12/27/19 23:02,"6 Hickory St, Dallas, TX 75001"
290567,USB-C Charging Cable,1,11.95,12/27/19 10:40,"359 South St, San Francisco, CA 94016"
290568,Apple Airpods Headphones,1,150.0,12/16/19 19:12,"718 Maple St, Seattle, WA 98101"
290569,Apple Airpods Headphones,1,150.0,12/04/19 21:48,"714 2nd St, Dallas, TX 75001"
290570,27in FHD Monitor,1,149.99,12/16/19 18:09,"969 Willow St, Boston, MA 02215"
290571,Flatscreen TV,1,300.0,12/19/19 13:16,"456 Pine St, New York City, NY 10001"
290572,AAA Batteries (4-pack),5,2.99,12/13/19 17:55,"207 12th St, Los Angeles, CA 90001"
290573,AA Batteries (4-pack),1,3.84,12/12/19 10:04,"999 1st St, San Francisco, CA 94016"
290574,Wired Headphones,1,11.99,12/26/19 17:04,"368 Dogwood St, San Francisco, CA 94016"
290575,ThinkPad Laptop,1,999.99,12/15/19 14:15,"986 Chestnut St, Los Angeles, CA 90001"
290576,AA Batteries (4-pack),1,3.84,12/25/19 12:29,"605 Lincoln St, Portland, ME 04101"
290577,Bose SoundSport Headphones,1,99.99,12/27/19 19:47,"954 Johnson St, New York City, NY 10001"
290578,AAA Batteries (4-pack),1,2.99,12/26/19 18:05,"980 Sunset St, Los Angeles, CA 90001"
290579,AAA Batteries (4-pack),3,2.99,12/16/19 16:08,"182 Meadow St, Los Angeles, CA 90001"
