Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
162420,Wired Headphones,1,11.99,02/04/19 12:00,"750 Park St, New York City, NY 10001"
162421,AA Batteries (4-pack),1,3.84,02/15/19 16:13,"725 River St, San Francisco, CA 94016"
162422,iPhone,1,700.0,02/25/19 09:45,"650 Church St, Los Angeles, CA 90001"
162423,Lightning Charging Cable,1,14.95,02/08/19 11:56,"715 12th St, Los Angeles, CA 90001"
162424,iPhone,1,700.0,02/05/19 13:09,"810 Meadow St, New York City, NY 10001"
162424,Lightning Charging Cable,1,14.95,02/05/19 13:09,"810 Meadow St, New York City, NY 10001"
162425,Lightning Charging Cable,1,14.95,02/16/19 11:44,"212 Hickory St, San Francisco, CA 94016"
162426,Bose SoundSport Headphones,1,99.99,02/18/19 16:00,"703 2nd St, Portland, OR 97035"
162427,Wired Headphones,1,11.99,02/04/19 13:51,"441 Hill St, Dallas, TX 75001"
162427,27in 4K Gaming Monitor,1,389.99,02/04/19 13:51,"441 Hill St, Dallas, TX 75001"
162428,Lightning Charging Cable,1,14.95,02/08/19 00:18,"356 Dogwood St, Dallas, TX 75001"
162429,AA Batteries (4-pack),1,3.84,02/17/19 08:27,"498 11th St, New York City, NY 10001"
162430,Apple Airpods Headphones,1,150.0,02/06/19 13:06,"73 14th St, Boston, MA 02215"
162431,27in FHD Monitor,1,149.99,02/10/19 12:03,"402 7th St, New York City, NY 10001"
162432,Bose SoundSport Headphones,1,99.99,02/27/19 12:16,"708 Adams St, Seattle, WA 98101"
162433,Lightning Charging Cable,1,14.95,02/14/19 16:22,"642 Maple St, New York City, NY 10001"
162434,Wired Headphones,1,11.99,02/23/19 10:01,"201 North St, San Francisco, CA 94016"
162435,ThinkPad Laptop,1,999.99,02/13/19 10:17,"483 Lake St, Atlanta, GA 30301"
162436,AA Batteries (4-pack),1,3.84,03/01/19 00:23,"456 Sunset St, Seattle, WA 98101"
162437,34in Ultrawide Monitor,1,379.99,02/04/19 14:39,"69 Wilson St, New York City, NY 10001"
162438,USB-C Charging Cable,1,11.95,02/06/19 14:41,"377 Lincoln St, San Francisco, CA 94016"
162439,USB-C Charging Cable,1,11.95,02/16/19 17:38,"800 Cherry St, San Francisco, CA 94016"
162440,Lightning Charging Cable,1,14.95,02/13/19 03:10,"60 Ridge St, Boston, MA 02215"
162441,USB-C Charging Cable,1,11.95,02/02/19 02:58,"621 9th St, Austin, TX 73301"
162442,Wired Headphones,1,11.99,02/15/19 20:54,"729 Cedar St, Los Angeles, CA 90001"
162443,Lightning Charging Cable,1,14.95,02/11/19 19:26,"640 Maple St, Atlanta, GA 30301"
162444,34in Ultrawide Monitor,1,379.99,02/02/19 11:19,"411 Willow St, Los Angeles, CA 90001"
162445,AAA Batteries (4-pack),1,2.99,02/16/19 11:09,"187 6th St, Los Angeles, CA 90001"
162446,Wired Headphones,1,11.99,02/26/19 19:48,"313 Ridge St, New York City, NY 10001"
162447,USB-C Charging Cable,1,11.95,02/27/19 12:42,"174 9th St, Atlanta, GA 30301"
162448,Wired Headphones,1,11.99,02/17/19 18:40,"883 4th St, Boston, MA 02215"
162449,Lightning Charging Cable,1,14.95,02/26/19 16:43,"214 Center St, Seattle, WA 98101"
162450,AAA Batteries (4-pack),1,2.99,02/10/19 09:40,"484 Ridge St, Los Angeles, CA 90001"
162451,AA Batteries (4-pack),2,3.84,02/05/19 11:55,"877 Cherry St, San Francisco, CA 94016"
162452,Lightning Charging Cable,1,14.95,02/21/19 14:43,"248 Lakeview St, Los Angeles, CA 90001"
162453,Lightning Charging Cable,1,14.95,02/03/19 20:41,"646 Willow St, San Francisco, CA 94016"
162454,27in 4K Gaming Monitor,1,389.99,02/15/19 10:58,"259 6th St, Portland, OR 97035"
162455,Wired Headphones,1,11.99,02/16/19 14:46,"628 6th St, Los Angeles, CA 90001"
162456,20in Monitor,1,109.99,02/19/19 23:27,"718 Ridge St, New York City, NY 10001"
162457,27in FHD Monitor,1,149.99,02/19/19 12:30,"97 7th St, Portland, OR 97035"
162458,27in 4K Gaming Monitor,1,389.99,02/08/19 13:04,"341 Center St, New York City, NY 10001"
162459,USB-C Charging Cable,1,11.95,02/12/19 11:51,"373 14th St, New York City, NY 10001"
162460,AA Batteries (4-pack),1,3.84,02/05/19 19:45,"466 5th St, San Francisco, CA 94016"
162461,Macbook Pro Laptop,1,1700.0,02/08/19 22:22,"365 Meadow St, Los Angeles, CA 90001"
162462,iPhone,1,700.0,02/25/19 13:17,"129 6th St, Boston, MA 02215"
162463,Flatscreen TV,1,300.0,02/14/19 18:30,"743 Meadow St, San Francisco, CA 94016"
162464,Apple Airpods Headphones,1,150.0,02/08/19 21:47,"446 Pine St, Boston, MA 02215"
162465,USB-C Charging Cable,1,11.95,02/25/19 17:36,"315 Ridge St, San Francisco, CA 94016"
162466,Bose SoundSport Headphones,1,99.99,02/22/19 20:20,"736 Sunset St, Seattle, WA 98101"
162467,Flatscreen TV,1,300.0,02/04/19 01:21,"463 Hickory St, Dallas, TX 75001"
162468,AA Batteries (4-pack),1,3.84,02/01/19 13:55,"198 10th St, Portland, ME 04101"
162469,Wired Headphones,1,11.99,02/01/19 04:50,"187 Sunset St, San Francisco, CA 94016"
162470,Apple Airpods Headphones,1,150.0,02/27/19 10:35,"205 Sunset St, Seattle, WA 98101"
162471,Flatscreen TV,1,300.0,02/14/19 18:09,"670 7th St, San Francisco, CA 94016"
162472,Google Phone,1,600.0,02/14/19 19:28,"482 Church St, New York City, NY 10001"
162472,USB-C Charging Cable,1,11.95,02/14/19 19:28,"482 Church St, New York City, NY 10001"
162472,Wired Headphones,2,11.99,02/14/19 19:28,"482 Church St, New York City, NY 10001"
162473,Apple Airpods Headphones,1,150.0,02/10/19 16:11,"927 1st St, Seattle, WA 98101"
162474,USB-C Charging Cable,1,11.95,02/02/19 19:16,"553 South St, San Francisco, CA 94016"
162475,27in 4K Gaming Monitor,1,389.99,02/19/19 05:33,"303 Dogwood St, Los Angeles, CA 90001"
162476,iPhone,1,700.0,02/03/19 20:19,"779 Park St, San Francisco, CA 94016"
162477,27in FHD Monitor,1,149.99,02/02/19 09:30,"363 River St, Los Angeles, CA 90001"
162478,iPhone,1,700.0,02/19/19 20:03,"842 11th St, San Francisco, CA 94016"
162479,Bose SoundSport Headphones,1,99.99,02/06/19 14:03,"910 Highland St, Dallas, TX 75001"
162480,Apple Airpods Headphones,1,150.0,02/17/19 16:51,"421 7th St, San Francisco, CA 94016"
162481,USB-C Charging Cable,1,11.95,02/04/19 17:40,"602 Lake St, Atlanta, GA 30301"
162482,AA Batteries (4-pack),1,3.84,02/26/19 12:59,"688 Elm St, San Francisco, CA 94016"
162483,34in Ultrawide Monitor,1,379.99,02/15/19 01:39,"39 Elm St, Portland, OR 97035"
162484,Apple Airpods Headphones,1,150.0,02/11/19 14:07,"531 Hill St, Los Angeles, CA 90001"
162484,Flatscreen TV,1,300.0,02/11/19 14:07,"531 Hill St, Los Angeles, CA 90001"
162485,USB-C Charging Cable,1,11.95,02/10/19 18:25,"645 1st St, San Francisco, CA 94016"
162486,27in 4K Gaming Monitor,1,389.99,02/08/19 14:08,"331 7th St, Boston, MA 02215"
162487,Macbook Pro Laptop,1,1700.0,02/04/19 00:42,"320 Hill St, Seattle, WA 98101"
162488,AAA Batteries (4-pack),2,2.99,02/03/19 15:26,"33 Cherry St, Los Angeles, CA 90001"
162489,20in Monitor,1,109.99,02/15/19 20:44,"849 Elm St, Dallas, TX 75001"
162490,Wired Headphones,1,11.99,02/20/19 19:59,"283 Willow St, Portland, OR 97035"
162491,34in Ultrawide Monitor,1,379.99,02/17/19 01:05,"923 14th St, Boston, MA 02215"
162492,Google Phone,1,600.0,02/04/19 10:36,"151 Johnson St, New York City, NY 10001"
162492,Wired Headphones,1,11.99,02/04/19 10:36,"151 Johnson St, New York City, NY 10001"
162493,Lightning Charging Cable,1,14.95,02/28/19 20:51,"562 Cherry St, Dallas, TX 75001"
162494,27in FHD Monitor,1,149.99,02/20/19 14:27,"587 11th St, Seattle, WA 98101"
162495,AAA Batteries (4-pack),1,2.99,02/25/19 20:34,"87 Sunset St, Los Angeles, CA 90001"
162496,Vareebadd Phone,1,400.0,02/03/19 20:29,"671 Cherry St, Portland, OR 97035"
162497,Apple Airpods Headphones,1,150.0,02/17/19 15:41,"770 Lincoln St, New York City, NY 10001"
162498,Lightning Charging Cable,1,14.95,02/08/19 14:09,"691 Washington St, Los Angeles, CA 90001"
162499,34in Ultrawide Monitor,1,379.99,02/16/19 18:40,"42 Spruce St, Atlanta, GA 30301"
