Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
217622,Lightning Charging Cable,1,14.95,07/26/19 23:19,"16 Maple St, New York City, NY 10001"
217623,Bose SoundSport Headphones,1,99.99,07/17/19 18:33,"255 2nd St, Atlanta, GA 30301"
217624,Bose SoundSport Headphones,1,99.99,07/05/19 19:57,"303 2nd St, San Francisco, CA 94016"
217625,AAA Batteries (4-pack),1,2.99,07/23/19 17:51,"894 Lakeview St, San Francisco, CA 94016"
217626,AAA Batteries (4-pack),2,2.99,07/25/19 19:41,"639 9th St, Dallas, TX 75001"
217627,ThinkPad Laptop,1,999.99,07/28/19 10:47,"978 North St, San Francisco, CA 94016"
217628,27in FHD Monitor,1,149.99,07/01/19 08:45,"749 Dogwood St, San Francisco, CA 94016"
217629,27in 4K Gaming Monitor,1,389.99,07/05/19 10:32,"896 Hill St, Boston, MA 02215"
217630,AA Batteries (4-pack),1,3.84,07/26/19 11:24,"434 13th St, Austin, TX 73301"
217631,Macbook Pro Laptop,1,1700.0,07/29/19 01:03,"667 Lake St, Austin, TX 73301"
217632,Apple Airpods Headphones,1,150.0,07/01/19 15:03,"720 Dogwood St, Dallas, TX 75001"
217633,Google Phone,1,600.0,07/09/19 09:57,"307 Washington St, Boston, MA 02215"
217634,ThinkPad Laptop,1,999.99,07/10/19 12:34,"67 7th St, New York City, NY 10001"
217635,Wired Headphones,1,11.99,07/18/19 16:58,"995 Johnson St, Los Angeles, CA 90001"
217636,Apple Airpods Headphones,1,150.0,07/06/19 15:17,"648 North St, Los Angeles, CA 90001"
217637,20in Monitor,1,109.99,07/28/19 17:08,"55 4th St, San Francisco, CA 94016"
217638,AAA Batteries (4-pack),2,2.99,07/30/19 12:58,"172 11th St, Portland, ME 04101"
217639,Flatscreen TV,1,300.0,07/02/19 17:21,"764 Highland St, Los Angeles, CA 90001"
217640,Lightning Charging Cable,1,14.95,07/07/19 20:16,"414 Highland St, San Francisco, CA 94016"
217641,Apple Airpods Headphones,1,150.0,07/05/19 16:52,"593 Lake St, New York City, NY 10001"
217642,USB-C Charging Cable,1,11.95,07/10/19 20:44,"42 Main St, Austin, TX 73301"
217643,Google Phone,1,600.0,07/07/19 23:35,"541 Forest St, Boston, MA 02215"
217643,USB-C Charging Cable,1,11.95,07/07/19 23:35,"541 Forest St, Boston, MA 02215"
217644,USB-C Charging Cable,1,11.95,07/23/19 11:28,"512 Cherry St, New York City, NY 10001"
217645,USB-C Charging Cable,1,11.95,07/03/19 17:43,"719 Pine St, Dallas, TX 75001"
217646,Lightning Charging Cable,1,14.95,07/16/19 08:31,"119 1st St, San Francisco, CA 94016"
217647,AAA Batteries (4-pack),3,2.99,07/09/19 11:27,"594 Hickory St, San Francisco, CA 94016"
217648,Wired Headphones,1,11.99,07/10/19 18:59,"599 Maple St, Los Angeles, CA 90001"
217649,34in Ultrawide Monitor,1,379.99,07/21/19 15:30,"586 14th St, New York City, NY 10001"
217650,AAA Batteries (4-pack),1,2.99,07/11/19 22:25,"578 Pine St, Boston, MA 02215"
217651,AAA Batteries (4-pack),3,2.99,07/17/19 10:21,"619 13th St, New York City, NY 10001"
217652,27in 4K Gaming Monitor,1,389.99,07/29/19 10:08,"608 Church St, Austin, TX 73301"
217653,AA Batteries (4-pack),3,3.84,07/30/19 14:20,"997 South St, Los Angeles, CA 90001"
217654,AA Batteries (4-pack),1,3.84,07/28/19 14:32,"391 Adams St, Boston, MA 02215"
217655,AAA Batteries (4-pack),2,2.99,07/23/19 12:18,"50 2nd St, Dallas, TX 75001"
217656,Lightning Charging Cable,1,14.95,07/18/19 18:09,"605 Main St, Dallas, TX 75001"
217657,AAA Batteries (4-pack),1,2.99,07/13/19 11:40,"745 12th St, San Francisco, CA 94016"
217658,Google Phone,1,600.0,07/19/19 18:29,"508 Cedar St, Seattle, WA 98101"
217659,27in FHD Monitor,1,149.99,07/18/19 11:40,"729 12th St, Los Angeles, CA 90001"
217660,Vareebadd Phone,1,400.0,07/08/19 22:11,"812 Main St, Seattle, WA 98101"
217660,Bose SoundSport Headphones,1,99.99,07/08/19 22:11,"812 Main St, Seattle, WA 98101"
217661,Flatscreen TV,1,300.0,07/26/19 08:05,"827 Adams St, Boston, MA 02215"
217662,Bose SoundSport Headphones,1,99.99,07/28/19 20:52,"345 Lake St, New York City, NY 10001"
217663,USB-C Charging Cable,1,11.95,07/02/19 12:41,"597 River St, Seattle, WA 98101"
217664,AA Batteries (4-pack),1,3.84,07/02/19 15:15,"699 10th St, San Francisco, CA 94016"
217665,Wired Headphones,1,11.99,07/21/19 21:37,"950 Center St, Austin, TX 73301"
217666,Wired Headphones,1,11.99,07/10/19 20:38,"164 1st St, San Francisco, CA 94016"
217667,Macbook Pro Laptop,1,1700.0,07/30/19 18:08,"266 Cherry St, Los Angeles, CA 90001"
217668,AAA Batteries (4-pack),1,2.99,07/26/19 13:22,"793 7th St, Dallas, TX 75001"
217669,AAA Batteries (4-pack),1,2.99,07/04/19 17:24,"641 Jackson St, Los Angeles, CA 90001"
217670,AA Batteries (4-pack),2,3.84,07/05/19 13:21,"625 Park St, San Francisco, CA 94016"
217671,Vareebadd Phone,1,400.0,07/04/19 20:09,"234 Washington St, New York City, NY 10001"
