Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
196661,Apple Airpods Headphones,1,150,06/19/19 10:49,"978 12th St, New York City, NY 10001"
196662,Lightning Charging Cable,1,14.95,06/17/19 00:48,"465 Church St, Portland, OR 97035"
196663,AAA Batteries (4-pack),1,2.99,06/24/19 16:41,"473 6th St, Austin, TX 73301"
196664,AAA Batteries (4-pack),4,2.99,06/16/19 08:56,"397 6th St, San Francisco, CA 94016"
196665,Apple Airpods Headphones,1,150,06/15/19 00:01,"966 Highland St, San Francisco, CA 94016"
196666,AAA Batteries (4-pack),1,2.99,06/01/19 16:41,"597 Jefferson St, San Francisco, CA 94016"
196667,USB-C Charging Cable,1,11.95,06/18/19 13:42,"112 14th St, San Francisco, CA 94016"
196668,Wired Headphones,1,11.99,06/02/19 14:53,"403 Church St, San Francisco, CA 94016"
196669,AA Batteries (4-pack),1,3.84,06/20/19 11:48,"605 5th St, New York City, NY 10001"
196670,Wired Headphones,2,11.99,06/06/19 15:49,"942 Jefferson St, Atlanta, GA 30301"
196671,AAA Batteries (4-pack),1,2.99,06/17/19 09:47,"373 Pine St, Dallas, TX 75001"
196672,Lightning Charging Cable,1,14.95,06/13/19 19:57,"304 Lincoln St, San Francisco, CA 94016"
196673,27in FHD Monitor,1,149.99,06/04/19 08:26,"387 Elm St, Seattle, WA 98101"
196674,Wired Headphones,1,11.99,06/23/19 02:54,"118 11th St, Austin, TX 73301"
196675,34in Ultrawide Monitor,1,379.99,06/03/19 15:17,"85 9th St, Atlanta, GA 30301"
196676,AAA Batteries (4-pack),3,2.99,06/08/19 16:38,"450 Willow St, Seattle, WA 98101"
196677,Wired Headphones,1,11.99,06/02/19 08:55,"400 Park St, Seattle, WA 98101"
196678,ThinkPad Laptop,1,999.99,06/20/19 11:02,"155 11th St, Dallas, TX 75001"
196679,USB-C Charging Cable,1,11.95,06/19/19 12:57,"787 5th St, Atlanta, GA 30301"
196680,iPhone,1,700,06/09/19 13:39,"27 7th St, New York City, NY 10001"
196681,Apple Airpods Headphones,1,150,06/19/19 09:57,"165 Adams St, Dallas, TX 75001"
196682,AAA Batteries (4-pack),1,2.99,06/14/19 22:25,"107 North St, San Francisco, CA 94016"
196683,AA Batteries (4-pack),1,3.84,06/13/19 17:03,"470 Dogwood St, Los Angeles, CA 90001"
196684,Flatscreen TV,1,300,06/23/19 23:25,"877 North St, San Francisco, CA 94016"
196685,Wired Headphones,2,11.99,06/28/19 00:44,"220 Dogwood St, New York City, NY 10001"
196686,Bose SoundSport Headphones,1,99.99,06/14/19 18:59,"729 Hickory St, Los Angeles, CA 90001"
196687,USB-C Charging Cable,1,11.95,06/13/19 06:16,"515 Washington St, Dallas, TX 75001"
196688,Flatscreen TV,1,300,06/07/19 14:10,"355 West St, Austin, TX 73301"
196688,USB-C Charging Cable,1,11.95,06/07/19 14:10,"355 West St, Austin, TX 73301"
196689,AA Batteries (4-pack),1,3.84,06/09/19 20:41,"697 South St, Austin, TX 73301"
196690,34in Ultrawide Monitor,1,379.99,06/29/19 21:44,"677 Lakeview St, New York City, NY 10001"
196691,Bose SoundSport Headphones,1,99.99,06/10/19 06:39,"600 Wilson St, Boston, MA 02215"
196692,Flatscreen TV,1,300,06/29/19 14:37,"581 Center St, Los Angeles, CA 90001"
196693,34in Ultrawide Monitor,1,379.99,06/17/19 14:22,"965 Wilson St, New York City, NY 10001"
196694,AAA Batteries (4-pack),2,2.99,06/17/19 14:15,"227 12th St, Boston, MA 02215"
196695,ThinkPad Laptop,1,999.99,06/23/19 12:14,"269 Park St, Dallas, TX 75001"
196696,AAA Batteries (4-pack),2,2.99,06/22/19 08:34,"738 Park St, Seattle, WA 98101"
196697,Apple Airpods Headphones,1,150,06/19/19 10:20,"123 9th St, Atlanta, GA 30301"
196698,Flatscreen TV,1,300,06/13/19 08:19,"687 Cedar St, Los Angeles, CA 90001"
196699,USB-C Charging Cable,3,11.95,06/22/19 15:44,"901 Park St, San Francisco, CA 94016"
196700,27in 4K Gaming Monitor,1,389.99,06/16/19 16:56,"280 Lake St, New York City, NY 10001"
196701,AA Batteries (4-pack),3,3.84,06/18/19 21:04,"948 Meadow St, Atlanta, GA 30301"
196702,20in Monitor,1,109.99,06/23/19 19:09,"241 Hickory St, Los Angeles, CA 90001"
196703,27in FHD Monitor,1,149.99,06/19/19 23:26,"317 Jackson St, San Francisco, CA 94016"
196704,Apple Airpods Headphones,1,150,06/14/19 13:07,"908 Wilson St, New York City, NY 10001"
196705,27in 4K Gaming Monitor,1,389.99,06/06/19 14:36,"423 Adams St, Atlanta, GA 30301"
196706,Lightning Charging Cable,1,14.95,06/25/19 07:25,"416 Pine St, Dallas, TX 75001"
196707,Flatscreen TV,1,300,06/21/19 19:08,"843 Washington St, Portland, OR 97035"
196708,AA Batteries (4-pack),1,3.84,06/22/19 12:39,"602 Center St, Los Angeles, CA 90001"
196709,Macbook Pro Laptop,1,1700,06/17/19 19:09,"20 13th St, Portland, ME 04101"
196710,Wired Headphones,1,11.99,06/25/19 07:22,"112 Sunset St, Portland, OR 97035"
196711,Lightning Charging Cable,2,14.95,06/23/19 18:19,"405 Madison St, San Francisco, CA 94016"
196712,Lightning Charging Cable,1,14.95,06/13/19 12:22,"864 Chestnut St, Los Angeles, CA 90001"
196713,Wired Headphones,1,11.99,06/09/19 20:21,"376 Walnut St, Austin, TX 73301"
