Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
168595,Lightning Charging Cable,1,14.95,03/20/19 20:48,"105 Maple St, Boston, MA 02215"
168596,Apple Airpods Headphones,1,150.0,03/28/19 17:27,"109 Dogwood St, Dallas, TX 75001"
168597,AAA Batteries (4-pack),2,2.99,03/23/19 21:09,"175 North St, Los Angeles, CA 90001"
168598,Lightning Charging Cable,1,14.95,03/02/19 13:49,"430 1st St, Los Angeles, CA 90001"
168599,Lightning Charging Cable,1,14.95,03/18/19 15:45,"763 Forest St, Boston, MA 02215"
168600,Macbook Pro Laptop,1,1700.0,03/17/19 21:26,"671 Elm St, San Francisco, CA 94016"
168601,27in FHD Monitor,1,149.99,03/20/19 10:57,"792 7th St, New York City, NY 10001"
168602,Lightning Charging Cable,1,14.95,04/01/19 00:52,"916 Hill St, New York City, NY 10001"
168603,AA Batteries (4-pack),2,3.84,03/31/19 11:15,"713 Forest St, Atlanta, GA 30301"
168604,Lightning Charging Cable,1,14.95,03/29/19 00:39,"126 Washington St, Austin, TX 73301"
168605,Macbook Pro Laptop,1,1700.0,03/06/19 14:44,"167 Chestnut St, Los Angeles, CA 90001"
168606,Lightning Charging Cable,2,14.95,03/12/19 07:47,"759 Wilson St, Los Angeles, CA 90001"
168607,Apple Airpods Headphones,1,150.0,03/21/19 11:52,"437 Hickory St, Seattle, WA 98101"
168608,USB-C Charging Cable,2,11.95,03/09/19 18:54,"684 West St, Los Angeles, CA 90001"
168609,USB-C Charging Cable,1,11.95,03/23/19 18:12,"31 8th St, Los Angeles, CA 90001"
168609,Bose SoundSport Headphones,1,99.99,03/23/19 18:12,"31 8th St, Los Angeles, CA 90001"
168610,iPhone,1,700.0,03/30/19 11:07,"644 West St, Boston, MA 02215"
168611,AAA Batteries (4-pack),1,2.99,03/24/19 14:53,"866 Wilson St, San Francisco, CA 94016"
168612,AAA Batteries (4-pack),1,2.99,03/03/19 00:39,"552 11th St, Seattle, WA 98101"
168613,iPhone,1,700.0,03/15/19 18:26,"915 Maple St, Los Angeles, CA 90001"
168614,Lightning Charging Cable,1,14.95,03/03/19 12:17,"606 Lakeview St, Los Angeles, CA 90001"
168615,Apple Airpods Headphones,1,150.0,03/27/19 15:35,"256 Hill St, Boston, MA 02215"
168616,AAA Batteries (4-pack),4,2.99,03/27/19 08:10,"663 Madison St, Los Angeles, CA 90001"
168617,AA Batteries (4-pack),3,3.84,03/23/19 02:39,"534 Hill St, Seattle, WA 98101"
168618,Wired Headphones,1,11.99,03/24/19 11:02,"451 Church St, Los Angeles, CA 90001"
168619,Bose SoundSport Headphones,1,99.99,03/14/19 19:34,"433 Lincoln St, Boston, MA 02215"
168620,AA Batteries (4-pack),1,3.84,03/19/19 09:25,"604 2nd St, San Francisco, CA 94016"
168621,27in FHD Monitor,1,149.99,03/13/19 21:50,"900 6th St, Seattle, WA 98101"
168622,AAA Batteries (4-pack),2,2.99,03/15/19 14:51,"639 11th St, Boston, MA 02215"
168623,AA Batteries (4-pack),2,3.84,03/26/19 11:40,"95 Church St, Dallas, TX 75001"
168624,Wired Headphones,1,11.99,03/08/19 01:17,"129 Lakeview St, Austin, TX 73301"
168625,34in Ultrawide Monitor,1,379.99,03/03/19 11:14,"787 Lakeview St, San Francisco, CA 94016"
168626,Macbook Pro Laptop,1,1700.0,03/04/19 15:03,"652 Hill St, Atlanta, GA 30301"
168627,USB-C Charging Cable,1,11.95,03/25/19 09:31,"671 Cedar St, New York City, NY 10001"
168628,Lightning Charging Cable,1,14.95,03/18/19 21:52,"445 8th St, New York City, NY 10001"
168629,iPhone,1,700.0,03/22/19 07:01,"432 Meadow St, Austin, TX 73301"
168630,Bose SoundSport Headphones,1,99.99,03/01/19 12:04,"660 Jefferson St, San Francisco, CA 94016"
168631,AA Batteries (4-pack),1,3.84,03/26/19 07:07,"314 Center St, Boston, MA 02215"
168632,Macbook Pro Laptop,1,1700.0,03/18/19 14:05,"81 Walnut St, New York City, NY 10001"
168633,Apple Airpods Headphones,1,150.0,03/19/19 01:09,"961 1st St, San Francisco, CA 94016"
168634,AA Batteries (4-pack),2,3.84,03/23/19 17:50,"680 10th St, San Francisco, CA 94016"
168635,27in 4K Gaming Monitor,1,389.99,03/14/19 19:31,"823 Cherry St, Los Angeles, CA 90001"
168636,Wired Headphones,1,11.99,03/12/19 20:34,"972 Jefferson St, Boston, MA 02215"
