Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
189302,AAA Batteries (4-pack),1,2.99,05/15/19 17:49,"696 Main St, San Francisco, CA 94016"
189303,USB-C Charging Cable,1,11.95,05/09/19 10:29,"611 South St, Atlanta, GA 30301"
189304,AA Batteries (4-pack),1,3.84,05/08/19 13:14,"944 South St, Seattle, WA 98101"
189305,34in Ultrawide Monitor,1,379.99,05/30/19 16:02,"757 Jefferson St, Los Angeles, CA 90001"
189306,AA Batteries (4-pack),1,3.84,05/17/19 20:26,"683 Jefferson St, San Francisco, CA 94016"
189307,USB-C Charging Cable,1,11.95,05/06/19 20:18,"336 River St, San Francisco, CA 94016"
189308,iPhone,1,700.0,05/21/19 21:54,"406 Jefferson St, San Francisco, CA 94016"
189308,Lightning Charging Cable,1,14.95,05/21/19 21:54,"406 Jefferson St, San Francisco, CA 94016"
189309,Macbook Pro Laptop,1,1700.0,05/30/19 18:07,"778 Center St, Seattle, WA 98101"
189310,USB-C Charging Cable,1,11.95,05/27/19 23:27,"254 1st St, Los Angeles, CA 90001"
189311,Wired Headphones,1,11.99,05/24/19 20:11,"647 1st St, Atlanta, GA 30301"
189312,Macbook Pro Laptop,1,1700.0,05/15/19 19:38,"631 2nd St, San Francisco, CA 94016"
189313,AA Batteries (4-pack),1,3.84,05/30/19 12:35,"344 Lakeview St, San Francisco, CA 94016"
189314,AA Batteries (4-pack),2,3.84,05/21/19 12:04,"257 10th St, San Francisco, CA 94016"
189315,Bose SoundSport Headphones,1,99.99,05/22/19 14:57,"822 Pine St, San Francisco, CA 94016"
189316,AA Batteries (4-pack),1,3.84,05/03/19 11:34,"937 Lakeview St, San Francisco, CA 94016"
189317,Wired Headphones,1,11.99,05/31/19 22:05,"538 Jackson St, Portland, OR 97035"
189318,Lightning Charging Cable,2,14.95,05/27/19 18:57,"403 Madison St, Seattle, WA 98101"
189319,27in FHD Monitor,1,149.99,05/13/19 19:12,"730 10th St, New York City, NY 10001"
189320,Flatscreen TV,1,300.0,05/21/19 17:38,"471 Washington St, San Francisco, CA 94016"
189321,USB-C Charging Cable,1,11.95,05/24/19 18:39,"912 Chestnut St, Los Angeles, CA 90001"
189322,AAA Batteries (4-pack),1,2.99,05/25/19 11:52,"306 14th St, New York City, NY 10001"
189323,Wired Headphones,1,11.99,05/12/19 19:04,"104 Chestnut St, Atlanta, GA 30301"
189324,Apple Airpods Headphones,1,150.0,05/19/19 20:16,"750 14th St, Atlanta, GA 30301"
189325,AA Batteries (4-pack),1,3.84,05/25/19 20:22,"350 Hill St, Dallas, TX 75001"
189326,AA Batteries (4-pack),3,3.84,05/09/19 15:36,"697 6th St, New York City, NY 10001"
189327,27in FHD Monitor,1,149.99,05/09/19 17:17,"381 Maple St, Seattle, WA 98101"
189328,USB-C Charging Cable,1,11.95,05/04/19 17:57,"86 Meadow St, Los Angeles, CA 90001"
189329,AA Batteries (4-pack),1,3.84,05/03/19 06:03,"6 Spruce St, Austin, TX 73301"
189330,AA Batteries (4-pack),1,3.84,05/30/19 18:07,"580 West St, Los Angeles, CA 90001"
189331,Bose SoundSport Headphones,1,99.99,05/12/19 19:26,"917 West St, San Francisco, CA 94016"
189332,Wired Headphones,1,11.99,05/29/19 12:42,"294 Madison St, San Francisco, CA 94016"
189333,Bose SoundSport Headphones,1,99.99,05/09/19 12:56,"981 River St, Los Angeles, CA 90001"
189334,AAA Batteries (4-pack),1,2.99,05/10/19 14:51,"513 Park St, Los Angeles, CA 90001"
189335,AA Batteries (4-pack),1,3.84,05/24/19 15:24,"18 Madison St, San Francisco, CA 94016"
189336,USB-C Charging Cable,1,11.95,05/16/19 05:48,"641 Church St, San Francisco, CA 94016"
189337,27in FHD Monitor,1,149.99,05/10/19 15:24,"862 8th St, Boston, MA 02215"
189338,Wired Headphones,1,11.99,05/10/19 14:39,"876 Main St, New York City, NY 10001"
189339,AAA Batteries (4-pack),1,2.99,05/29/19 08:24,"291 River St, Seattle, WA 98101"
189340,iPhone,1,700.0,05/01/19 11:52,"436 Elm St, Seattle, WA 98101"
189340,Apple Airpods Headphones,1,150.0,05/01/19 11:52,"436 Elm St, Seattle, WA 98101"
189341,AA Batteries (4-pack),1,3.84,05/05/19 18:59,"935 Jefferson St, Los Angeles, CA 90001"
189342,AAA Batteries (4-pack),1,2.99,05/12/19 20:45,"605 Washington St, New York City, NY 10001"
189343,Apple Airpods Headphones,1,150.0,05/12/19 15:05,"381 9th St, Los Angeles, CA 90001"
189344,AAA Batteries (4-pack),2,2.99,05/07/19 18:15,"743 Cherry St, San Francisco, CA 94016"
189345,27in FHD Monitor,1,149.99,05/30/19 18:52,"532 Hickory St, Dallas, TX 75001"
189346,USB-C Charging Cable,1,11.95,05/06/19 17:51,"572 Hickory St, Portland, ME 04101"
189347,20in Monitor,1,109.99,05/10/19 21:43,"374 2nd St, San Francisco, CA 94016"
189348,AAA Batteries (4-pack),1,2.99,05/20/19 21:19,"343 Highland St, Boston, MA 02215"
189349,USB-C Charging Cable,1,11.95,05/08/19 08:22,"167 Chestnut St, Dallas, TX 75001"
189350,Apple Airpods Headphones,1,150.0,05/28/19 21:15,"471 Jefferson St, New York City, NY 10001"
189351,Wired Headphones,1,11.99,05/06/19 17:02,"308 Church St, San Francisco, CA 94016"
189352,iPhone,1,700.0,05/24/19 19:24,"990 Elm St, Dallas, TX 75001"
189353,AAA Batteries (4-pack),1,2.99,05/07/19 15:25,"136 Church St, Portland, ME 04101"
189354,Apple Airpods Headphones,1,150.0,05/02/19 10:34,"712 12th St, Boston, MA 02215"
189355,AA Batteries (4-pack),1,3.84,05/26/19 17:35,"652 Meadow St, New York City, NY 10001"
189356,AAA Batteries (4-pack),1,2.99,05/28/19 21:11,"832 12th St, San Francisco, CA 94016"
189357,AA Batteries (4-pack),3,3.84,05/01/19 20:29,"974 Dogwood St, San Francisco, CA 94016"
189358,iPhone,1,700.0,05/22/19 16:35,"643 Cherry St, Atlanta, GA 30301"
189359,USB-C Charging Cable,1,11.95,05/31/19 22:08,"536 North St, New York City, NY 10001"
189360,34in Ultrawide Monitor,1,379.99,05/22/19 14:02,"848 Lincoln St, Los Angeles, CA 90001"
189361,AA Batteries (4-pack),1,3.84,05/29/19 22:43,"393 Maple St, Dallas, TX 75001"
189362,USB-C Charging Cable,1,11.95,05/10/19 16:10,"41 Johnson St, San Francisco, CA 94016"
189363,Lightning Charging Cable,1,14.95,05/02/19 17:18,"532 Hill St, San Francisco, CA 94016"
189364,USB-C Charging Cable,1,11.95,05/17/19 22:21,"301 Willow St, San Francisco, CA 94016"
189365,Lightning Charging Cable,1,14.95,05/19/19 13:49,"970 11th St, San Francisco, CA 94016"
189366,Lightning Charging Cable,1,14.95,05/21/19 11:15,"537 Jackson St, Los Angeles, CA 90001"
189367,AAA Batteries (4-pack),1,2.99,05/27/19 18:37,"103 6th St, Portland, OR 97035"
189368,USB-C Charging Cable,1,11.95,05/28/19 11:03,"890 4th St, San Francisco, CA 94016"
189369,Apple Airpods Headphones,1,150.0,05/03/19 19:04,"75 North St, San Francisco, CA 94016"
189370,ThinkPad Laptop,1,999.99,05/29/19 13:59,"631 Spruce St, San Francisco, CA 94016"
189371,Wired Headphones,1,11.99,05/04/19 12:25,"584 Ridge St, New York City, NY 10001"
189372,Lightning Charging Cable,1,14.95,05/11/19 00:44,"605 Spruce St, Boston, MA 02215"
189373,Wired Headphones,1,11.99,05/09/19 11:40,"955 11th St, San Francisco, CA 94016"
189374,Bose SoundSport Headphones,1,99.99,05/29/19 13:09,"934 Chestnut St, New York City, NY 10001"
189375,Lightning Charging Cable,1,14.95,05/21/19 23:05,"650 Jefferson St, Los Angeles, CA 90001"
189376,AA Batteries (4-pack),1,3.84,05/26/19 19:00,"420 Highland St, San Francisco, CA 94016"
