Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
267983,AA Batteries (4-pack),2,3.84,11/13/19 08:31,"26 5th St, Los Angeles, CA 90001"
267984,Apple Airpods Headphones,1,150.0,11/06/19 11:24,"284 Johnson St, Boston, MA 02215"
267985,Apple Airpods Headphones,1,150.0,11/19/19 13:21,"239 Church St, Austin, TX 73301"
267986,USB-C Charging Cable,1,11.95,11/29/19 12:53,"827 14th St, San Francisco, CA 94016"
267987,Lightning Charging Cable,1,14.95,11/07/19 07:12,"398 6th St, New York City, NY 10001"
267988,Apple Airpods Headphones,1,150.0,11/10/19 00:03,"981 Maple St, Portland, OR 97035"
267989,ThinkPad Laptop,1,999.99,11/22/19 02:18,"422 Park St, Dallas, TX 75001"
267990,Wired Headphones,1,11.99,11/12/19 17:25,"45 14th St, Los Angeles, CA 90001"
267991,USB-C Charging Cable,1,11.95,11/30/19 08:41,"70 4th St, San Francisco, CA 94016"
267992,AA Batteries (4-pack),1,3.84,11/19/19 21:59,"184 Hill St, Portland, OR 97035"
267993,USB-C Charging Cable,1,11.95,11/21/19 20:05,"356 South St, San Francisco, CA 94016"
267994,Apple Airpods Headphones,1,150.0,11/06/19 18:35,"936 Jackson St, Austin, TX 73301"
267995,27in 4K Gaming Monitor,1,389.99,11/02/19 06:37,"70 Church St, New York City, NY 10001"
267996,USB-C Charging Cable,1,11.95,11/24/19 01:57,"524 Spruce St, Seattle, WA 98101"
267997,20in Monitor,1,109.99,11/03/19 14:20,"639 5th St, Austin, TX 73301"
267998,Apple Airpods Headphones,1,150.0,11/06/19 19:15,"374 8th St, New York City, NY 10001"
267999,USB-C Charging Cable,1,11.95,11/11/19 21:48,"999 1st St, Dallas, TX 75001"
268000,AA Batteries (4-pack),1,3.84,11/30/19 13:10,"79 Forest St, Boston, MA 02215"
268001,USB-C Charging Cable,1,11.95,11/16/19 19:26,"73 Johnson St, San Francisco, CA 94016"
268002,Macbook Pro Laptop,1,1700.0,11/04/19 19:39,"671 Willow St, San Francisco, CA 94016"
