Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
247601,Lightning Charging Cable,1,14.95,10/01/19 17:12,"868 Meadow St, Los Angeles, CA 90001"
247602,Wired Headphones,1,11.99,10/17/19 20:28,"919 Washington St, San Francisco, CA 94016"
247603,USB-C Charging Cable,3,11.95,10/21/19 13:42,"590 Wilson St, Boston, MA 02215"
247604,Lightning Charging Cable,1,14.95,10/01/19 15:14,"890 9th St, San Francisco, CA 94016"
247605,USB-C Charging Cable,1,11.95,10/25/19 13:15,"938 Lakeview St, San Francisco, CA 94016"
247606,AA Batteries (4-pack),1,3.84,10/07/19 08:30,"328 Cedar St, Atlanta, GA 30301"
247607,AAA Batteries (4-pack),1,2.99,10/10/19 09:21,"407 Spruce St, Seattle, WA 98101"
247608,Bose SoundSport Headphones,2,99.99,10/29/19 18:11,"49 Park St, Boston, MA 02215"
247609,AAA Batteries (4-pack),1,2.99,10/28/19 16:04,"189 West St, Dallas, TX 75001"
247610,USB-C Charging Cable,2,11.95,10/09/19 16:13,"763 Washington St, Atlanta, GA 30301"
247611,34in Ultrawide Monitor,1,379.99,10/02/19 14:25,"921 Forest St, Seattle, WA 98101"
247612,Lightning Charging Cable,1,14.95,10/13/19 10:35,"596 11th St, New York City, NY 10001"
247613,Wired Headphones,1,11.99,10/21/19 17:42,"456 Hickory St, Dallas, TX 75001"
247614,27in 4K Gaming Monitor,1,389.99,10/08/19 10:36,"140 Maple St, Atlanta, GA 30301"
247615,Macbook Pro Laptop,1,1700.0,10/01/19 17:48,"861 Main St, San Francisco, CA 94016"
247616,LG Dryer,1,600.0,10/23/19 11:14,"51 Johnson St, San Francisco, CA 94016"
247617,Apple Airpods Headphones,1,150.0,10/12/19 19:41,"843 2nd St, Los Angeles, CA 90001"
247618,AA Batteries (4-pack),1,3.84,10/16/19 09:26,"519 5th St, Dallas, TX 75001"
247619,AAA Batteries (4-pack),1,2.99,10/17/19 19:39,"442 6th St, Portland, OR 97035"
247620,Google Phone,1,600.0,10/24/19 22:42,"364 Elm St, Portland, OR 97035"
247621,Bose SoundSport Headphones,1,99.99,10/04/19 17:13,"763 4th St, Atlanta, GA 30301"
247622,Wired Headphones,1,11.99,10/11/19 20:15,"345 7th St, New York City, NY 10001"
247623,AA Batteries (4-pack),2,3.84,10/11/19 00:57,"395 5th St, New York City, NY 10001"
247624,AA Batteries (4-pack),1,3.84,10/08/19 11:43,"211 Church St, San Francisco, CA 94016"
247625,27in 4K Gaming Monitor,1,389.99,10/19/19 16:53,"283 6th St, Seattle, WA 98101"
247626,USB-C Charging Cable,1,11.95,10/22/19 00:06,"623 West St, San Francisco, CA 94016"
247627,Apple Airpods Headphones,1,150.0,10/08/19 15:55,"928 South St, New York City, NY 10001"
247628,AAA Batteries (4-pack),2,2.99,10/26/19 19:11,"324 Main St, San Francisco, CA 94016"
247629,AA Batteries (4-pack),1,3.84,10/14/19 03:26,"875 Washington St, Los Angeles, CA 90001"
247630,34in Ultrawide Monitor,1,379.99,10/27/19 19:38,"916 Jefferson St, San Francisco, CA 94016"
247631,Bose SoundSport Headphones,1,99.99,10/18/19 20:35,"810 Sunset St, Portland, OR 97035"
247632,Apple Airpods Headphones,1,150.0,10/11/19 14:01,"19 Park St, Atlanta, GA 30301"
247633,Wired Headphones,1,11.99,10/05/19 09:45,"675 Elm St, Atlanta, GA 30301"
247634,Bose SoundSport Headphones,1,99.99,10/28/19 21:09,"99 Walnut St, Boston, MA 02215"
247635,34in Ultrawide Monitor,1,379.99,10/14/19 12:12,"935 Meadow St, New York City, NY 10001"
247636,AA Batteries (4-pack),4,3.84,10/12/19 16:11,"244 Cedar St, San Francisco, CA 94016"
247637,USB-C Charging Cable,1,11.95,10/27/19 17:12,"521 13th St, San Francisco, CA 94016"
247638,Bose SoundSport Headphones,1,99.99,10/10/19 18:31,"346 West St, Dallas, TX 75001"
247639,Lightning Charging Cable,1,14.95,10/15/19 21:53,"622 Cherry St, New York City, NY 10001"
247640,ThinkPad Laptop,1,999.99,10/30/19 22:42,"466 Lake St, Portland, OR 97035"
247641,Macbook Pro Laptop,1,1700.0,10/16/19 13:33,"919 River St, Dallas, TX 75001"
247642,USB-C Charging Cable,1,11.95,10/20/19 22:54,"93 Sunset St, New York City, NY 10001"
247643,20in Monitor,1,109.99,10/16/19 10:07,"321 Spruce St, Los Angeles, CA 90001"
247644,USB-C Charging Cable,1,11.95,10/26/19 10:21,"976 South St, Los Angeles, CA 90001"
247645,AA Batteries (4-pack),1,3.84,10/13/19 17:15,"675 Chestnut St, Atlanta, GA 30301"
247646,Bose SoundSport Headphones,1,99.99,10/22/19 19:17,"767 13th St, San Francisco, CA 94016"
247647,USB-C Charging Cable,1,11.95,10/13/19 13:11,"147 8th St, San Francisco, CA 94016"
247648,Lightning Charging Cable,1,14.95,10/22/19 11:58,"975 West St, Los Angeles, CA 90001"
247649,Bose SoundSport Headphones,1,99.99,10/21/19 20:01,"421 Lakeview St, Seattle, WA 98101"
247650,AA Batteries (4-pack),1,3.84,10/08/19 16:48,"411 Forest St, Los Angeles, CA 90001"
247651,27in 4K Gaming Monitor,1,389.99,10/27/19 10:25,"467 Meadow St, San Francisco, CA 94016"
247652,USB-C Charging Cable,1,11.95,10/27/19 22:03,"690 2nd St, New York City, NY 10001"
247653,USB-C Charging Cable,1,11.95,10/06/19 16:05,"679 South St, San Francisco, CA 94016"
