Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
238349,AAA Batteries (4-pack),1,2.99,09/13/19 15:21,"668 Dogwood St, San Francisco, CA 94016"
238350,Lightning Charging Cable,1,14.95,09/10/19 01:53,"300 6th St, San Francisco, CA 94016"
238351,Bose SoundSport Headphones,1,99.99,09/14/19 23:52,"43 Spruce St, Boston, MA 02215"
238352,USB-C Charging Cable,2,11.95,09/26/19 13:39,"339 Hickory St, Portland, OR 97035"
238353,USB-C Charging Cable,1,11.95,09/05/19 10:38,"271 Cedar St, Atlanta, GA 30301"
238354,Apple Airpods Headphones,1,150.0,09/11/19 23:11,"77 Lakeview St, Boston, MA 02215"
238354,AA Batteries (4-pack),1,3.84,09/11/19 23:11,"77 Lakeview St, Boston, MA 02215"
238355,AAA Batteries (4-pack),1,2.99,09/28/19 11:56,"194 Sunset St, Los Angeles, CA 90001"
238356,Apple Airpods Headphones,1,150.0,09/23/19 00:58,"971 Church St, Austin, TX 73301"
238357,USB-C Charging Cable,1,11.95,09/04/19 11:04,"257 Park St, Los Angeles, CA 90001"
238358,Macbook Pro Laptop,1,1700.0,09/10/19 21:12,"360 Center St, Los Angeles, CA 90001"
238359,Flatscreen TV,1,300.0,09/21/19 10:26,"35 Pine St, Los Angeles, CA 90001"
238360,Bose SoundSport Headphones,1,99.99,09/18/19 17:29,"250 12th St, Los Angeles, CA 90001"
238361,Wired Headphones,1,11.99,09/09/19 13:20,"371 5th St, Boston, MA 02215"
238361,Apple Airpods Headphones,1,150.0,09/09/19 13:20,"371 5th St, Boston, MA 02215"
238362,iPhone,1,700.0,09/09/19 20:52,"136 North St, Los Angeles, CA 90001"
238363,Lightning Charging Cable,1,14.95,09/03/19 10:59,"462 Church St, San Francisco, CA 94016"
238364,Flatscreen TV,1,300.0,09/18/19 22:17,"661 1st St, Boston, MA 02215"
238365,AA Batteries (4-pack),1,3.84,09/20/19 21:42,"401 Wilson St, Atlanta, GA 30301"
238366,Lightning Charging Cable,1,14.95,09/21/19 22:56,"351 Elm St, Los Angeles, CA 90001"
238367,Lightning Charging Cable,1,14.95,09/12/19 19:14,"204 Lakeview St, San Francisco, CA 94016"
238368,Apple Airpods Headphones,1,150.0,09/10/19 00:04,"170 Lincoln St, San Francisco, CA 94016"
238369,34in Ultrawide Monitor,1,379.99,09/13/19 21:59,"439 River St, New York City, NY 10001"
238370,27in FHD Monitor,1,149.99,09/15/19 09:40,"283 Chestnut St, Los Angeles, CA 90001"
238371,AA Batteries (4-pack),1,3.84,09/27/19 12:56,"364 West St, Los Angeles, CA 90001"
238372,ThinkPad Laptop,1,999.99,09/18/19 22:34,"232 14th St, Austin, TX 73301"
238373,Lightning Charging Cable,1,14.95,09/13/19 15:13,"511 Adams St, San Francisco, CA 94016"
238374,Bose SoundSport Headphones,1,99.99,09/22/19 21:01,"660 Pine St, San Francisco, CA 94016"
238375,Macbook Pro Laptop,1,1700.0,09/17/19 19:27,"710 Hill St, Portland, OR 97035"
238376,AA Batteries (4-pack),2,3.84,09/18/19 10:58,"166 Maple St, Boston, MA 02215"
238377,Lightning Charging Cable,1,14.95,09/05/19 18:45,"689 Wilson St, Los Angeles, CA 90001"
238378,20in Monitor,1,109.99,09/30/19 22:16,"930 Main St, Dallas, TX 75001"
238379,LG Dryer,1,600.0,09/20/19 23:44,"930 River St, Boston, MA 02215"
238380,Flatscreen TV,1,300.0,09/25/19 12:47,"509 Wilson St, New York City, NY 10001"
238381,AAA Batteries (4-pack),2,2.99,09/15/19 22:57,"217 Ridge St, Boston, MA 02215"
238382,iPhone,1,700.0,09/11/19 20:42,"370 Sunset St, Portland, OR 97035"
238383,Bose SoundSport Headphones,1,99.99,09/01/19 12:22,"28 Lake St, Los Angeles, CA 90001"
238384,34in Ultrawide Monitor,1,379.99,09/17/19 22:07,"934 5th St, Boston, MA 02215"
238385,Bose SoundSport Headphones,1,99.99,09/24/19 18:22,"781 Sunset St, Boston, MA 02215"
238386,Lightning Charging Cable,1,14.95,09/25/19 22:55,"229 Elm St, Los Angeles, CA 90001"
238387,27in FHD Monitor,1,149.99,09/11/19 23:04,"560 Adams St, Portland, ME 04101"
238388,USB-C Charging Cable,1,11.95,09/20/19 13:53,"75 Park St, Boston, MA 02215"
238389,AA Batteries (4-pack),1,3.84,09/27/19 15:58,"690 Hill St, Dallas, TX 75001"
238390,LG Dryer,1,600.0,09/11/19 09:48,"64 Spruce St, New York City, NY 10001"
238391,Lightning Charging Cable,1,14.95,09/18/19 12:35,"696 5th St, Portland, ME 04101"
238392,AAA Batteries (4-pack),1,2.99,09/02/19 13:33,"370 Jefferson St, Portland, ME 04101"
238393,AAA Batteries (4-pack),1,2.99,09/04/19 13:00,"784 Meadow St, Los Angeles, CA 90001"
238394,AAA Batteries (4-pack),1,2.99,09/18/19 08:08,"869 Highland St, San Francisco, CA 94016"
238395,AA Batteries (4-pack),1,3.84,09/29/19 12:34,"230 Spruce St, Portland, OR 97035"
238396,Flatscreen TV,1,300.0,09/05/19 10:18,"74 Walnut St, San Francisco, CA 94016"
238397,Apple Airpods Headphones,1,150.0,09/25/19 10:53,"18 Meadow St, Los Angeles, CA 90001"
238398,AAA Batteries (4-pack),1,2.99,09/14/19 19:50,"665 West St, Boston, MA 02215"
